23321_2|| INTEGER || CONTINUOUS || >20% IN ONE CATEGORY || Bin 1: <4.44, bin 2: >=4.44AND < 4.5, bin 3: >=4.5 || cat N: 13286, 3905, 23370 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25112_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25113_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25114_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25115_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25116_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25117_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25118_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25119_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25120_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25121_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25122_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25123_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25124_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25125_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25126_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25127_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25128_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25129_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25130_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25131_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25132_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25133_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25134_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25135_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25136_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25137_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25138_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25139_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25140_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25141_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25142_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25143_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25144_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25145_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25146_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25147_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25148_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
